English;Spanish;German;Japanese;Chinese (Simplified);Chinese (Traditional);Korean;Portuguese;French;Italian;Dutch;Swedish;Norwegian;Danish;Hindi;Urdu;Russian;Arabic;Category
I need to go home.;Necesito ir a casa.;Ich muss nach Hause.;私は家に帰る必要があります。;我需要回家。;我需要回家。;집에 가야 해요.;Eu preciso ir para casa.;J ai besoin de rentrer a la maison.;Ho bisogno di andare a casa.;Ik moet naar huis.;Jag behöver gå hem.;Jeg må hjem.;Jeg skal hjem.;मुझे घर जाने की जरूरत है।;مجھے گھر جانا ہے۔;Мне нужно идти домой.;أنا أحتاج أن أذهب للمنزل.;Everyday Lingo
I only want a snack.;Solo quiero un bocadillo.;Ich möchte nur einen Snack.;おやつだけ欲しい。;我只想要点心。;我只想要點心。;나는 단지 간식을 원한다.;Eu só quero um lanche.;Je veux juste une collation.;Voglio solo uno spuntino.;Ik wil alleen een snack.;Jag vill bara ha ett mellanmål.;Jeg vil bare ha en matbit.;Jeg vil kun have en snack.;मुझे केवल एक अल्पाहार चाहिए।;مجھے صرف ایک ناشتہ چاہیے;Я хочу только перекусить.;أنا فقط أريد وجبة خفيفة.;Everyday Lingo
Is Mr. Smith an American?;¿El Sr. Smith es estadounidense?;Ist Mr. Smith Amerikaner?;スミスさんはアメリカ人ですか。;史密斯先生是美国人吗？;史密斯先生是美國人嗎？;스미스 씨는 미국인입니까?;O Sr. Smith é americano?;Est-ce que M. Smith est américain ?;Il signor Smith è americano?;Is meneer Smith een Amerikaan?;Är Mr Smith en amerikan?;Er Mr. Smith en amerikaner?;Er Mr. Smith en amerikaner?;क्या मिस्टर स्मिथ अमेरिकी हैं?;کیا مسٹر سمتھ ایک امریکی ہیں؟;Мистер Смит американец?;هل السيد سميث أمريكي؟;Everyday Lingo
Is that enough?;¿Es suficiente?;Ist das genug?;それで十分ですか？;够了吗？;夠了嗎？;충분합니까?;Isso é suficiente?;Est-ce suffisant?;È abbastanza?;Is dat genoeg?;Är det tillräckligt?;Er det nok?;Er det nok?;क्या वो काफी है?;کیا یہ کافی ہے؟;Этого достаточно?;هل هذا كاف؟;Everyday Lingo
I think it's very good.;Creo que es muy bueno.;Ich finde es sehr gut.;とても良いと思います。;我觉得很好。;我覺得很好。;아주 좋다고 생각합니다.;Eu acho que é muito bom.;Je pense que c'est très bien.;Penso che sia molto buono.;Ik denk dat het heel goed is.;Jag tycker det är väldigt bra.;Jeg synes det er veldig bra.;Jeg synes, det er meget godt.;मुझे लगता है कि यह बहुत अच्छा है।;میرے خیال میں یہ بہت اچھا ہے۔;Я думаю, это очень хорошо.;أعتقد أنه جيد جدًا.;Everyday Lingo
I think it tastes good.;Creo que sabe bien.;Ich finde es schmeckt gut.;おいしいと思います。;我觉得味道不错。;我覺得味道不錯。;맛이 좋은 것 같아요.;Eu acho que tem um gosto bom.;Je pense que c'est bon.;Penso che abbia un buon sapore.;Ik denk dat het goed smaakt.;Jag tycker att det smakar gott.;Jeg synes det smaker godt.;Jeg synes det smager godt.;मुझे लगता है कि इसका स्वाद अच्छा है।;مجھے لگتا ہے کہ اس کا ذائقہ اچھا ہے۔;Я думаю, что это вкусно.;أعتقد أنه طعمه جيد.;Everyday Lingo
I thought the clothes were cheaper.;Pensé que la ropa era más barata.;Ich dachte, die Kleidung wäre billiger.;服が安いと思いました。;我以为衣服便宜了。;我以為衣服便宜了。;옷이 더 싸다고 생각했어요.;Achei as roupas mais baratas.;Je pensais que les vêtements étaient moins chers.;Pensavo che i vestiti fossero più economici.;Ik dacht dat de kleding goedkoper was.;Jag trodde att kläderna var billigare.;Jeg trodde klærne var billigere.;Jeg troede, tøjet var billigere.;मुझे लगा कि कपड़े सस्ते हैं।;میں نے سوچا کہ کپڑے سستے ہیں۔;Я думал, что одежда дешевле.;اعتقدت أن الملابس كانت أرخص.;Everyday Lingo
It's longer than 2 miles.;Es más de 2 millas.;Es ist länger als 2 Meilen.;2マイル以上あります。;它的长度超过 2 英里。;它的長度超過 2 英里。;2마일 이상입니다.;É mais de 2 milhas.;C'est plus long que 2 milles.;È più lungo di 2 miglia.;Het is langer dan 2 mijl.;Det är längre än 2 mil.;Den er lengre enn 2 mil.;Det er længere end 2 miles.;यह 2 मील से अधिक लंबा है।;یہ 2 میل سے لمبا ہے۔;Это больше, чем 2 мили.;إنها أطول من ميلين.;Everyday Lingo
I've been here for two days.;He estado aquí por dos días.;Ich bin seit zwei Tagen hier.;私はここに 2 日間滞在しています。;我来这里已经两天了。;我來這裡已經兩天了。;나는 이틀 동안 여기에 있었다.;Estou aqui há dois dias.;Je suis ici depuis deux jours.;Sono stato qui per due giorni.;Ik ben hier al twee dagen.;Jag har varit här i två dagar.;Jeg har vært her i to dager.;Jeg har været her i to dage.;मैं यहां दो दिन से हूं।;میں یہاں دو دن سے آیا ہوں۔;Я здесь уже два дня.;أنا هنا منذ يومين.;Everyday Lingo
I've heard Texas is a beautiful place.;Escuché que Texas es un lugar hermoso.;Ich habe gehört, Texas ist ein wunderschöner Ort.;テキサスは美しい場所だと聞いたことがあります。;我听说德州是个美丽的地方。;我聽說德州是個美麗的地方。;텍사스가 아름다운 곳이라고 들었습니다.;Ouvi dizer que o Texas é um lugar lindo.;J'ai entendu dire que le Texas est un endroit magnifique.;Ho sentito che il Texas è un posto bellissimo.;Ik heb gehoord dat Texas een prachtige plek is.;Jag har hört att Texas är en vacker plats.;Jeg har hørt at Texas er et vakkert sted.;Jeg har hørt, at Texas er et smukt sted.;मैंने सुना है कि टेक्सास एक खूबसूरत जगह है।;میں نے سنا ہے کہ ٹیکساس ایک خوبصورت جگہ ہے۔;Я слышал, что Техас — прекрасное место.;سمعت أن تكساس مكان جميل.;Everyday Lingo
I've never seen that before.;Nunca he visto eso antes.;Das habe ich noch nie gesehen.;私は前にそれを見たことがありません。;我以前从没见过。;我以前從沒見過。;나는 전에 그것을 본 적이 없다.;Eu nunca vi isso antes.;Je n'ai jamais vu ça auparavant.;Non l'ho mai visto prima.;Ik heb dat nog nooit eerder gezien.;Jag har aldrig sett det förut.;Det har jeg aldri sett før.;Det har jeg aldrig set før.;मैंने ऐसा पहले कभी नहीं देखा।;میں نے اسے پہلے کبھی نہیں دیکھا۔;Я никогда не видел этого раньше.;لم أر ذلك من قبل.;Everyday Lingo
I was about to leave the restaurant when my friends arrived.;Estaba a punto de salir del restaurante cuando llegaron mis amigos.;Ich wollte gerade das Restaurant verlassen, als meine Freunde ankamen.;友達が到着したとき、私はレストランを出ようとしていました。;当我的朋友们来的时候，我正要离开餐厅。;當我的朋友們來的時候，我正要離開餐廳。;친구들이 도착했을 때 나는 식당을 막 떠나려고 했다.;Eu estava saindo do restaurante quando meus amigos chegaram.;J'étais sur le point de quitter le restaurant quand mes amis sont arrivés.;Stavo per lasciare il ristorante quando sono arrivati ​​i miei amici.;Ik stond op het punt het restaurant te verlaten toen mijn vrienden arriveerden.;Jag höll på att lämna restaurangen när mina vänner kom.;Jeg var i ferd med å forlate restauranten da vennene mine ankom.;Jeg var ved at forlade restauranten, da mine venner ankom.;मैं रेस्टोरेंट से निकलने ही वाला था कि मेरे दोस्त आ गए।;میں ریستوراں سے نکلنے ہی والا تھا کہ میرے دوست پہنچے۔;Я уже собирался уходить из ресторана, когда пришли мои друзья.;كنت على وشك مغادرة المطعم عندما وصل أصدقائي.;Everyday Lingo
Just a little.;Solo un poco.;Nur ein wenig.;少しだけ。;一点点。;一點點。;아주 조금.;Só um pouco.;Juste un peu.;Solo un po.;Maar een beetje.;Bara lite.;Bare litt.;Bare en smule.;बस थोड़ा सा।;تھوڑا سا.;Немного.;قليلا فقط.;Everyday Lingo
Just a moment.;Sólo un momento.;Einen Augenblick.;ちょっとまってください。;一会儿。;一會兒。;잠시만.;Um momento.;Juste un moment.;Solo un momento.;Een momentje.;Ett ögonblick.;Bare et øyeblikk.;Lige et øjeblik.;बस एक पल।;بس ایک لمحہ۔;Момент.;لحظة واحدة.;Everyday Lingo
Let me check.;Permítame verificar.;Lass mich das überprüfen.;確認させてください。;让我检查一下。;讓我檢查一下。;내가 체크해 볼게.;Deixe-me ver.;Laisse moi vérifier.;Fammi controllare.;Laat me het controleren.;Låt mig kolla.;La meg sjekke.;Lad mig se.;मैं जाँच करता हूं।;مجھے دیکھنے دو.;Дай мне проверить.;دعني أتحقق.;Everyday Lingo
Let me think about it.;Déjame pensar en ello.;Lass mich darüber nachdenken.;私はそれについて考えてみましょう。;让我想想。;讓我想想。;생각 좀하자.;Deixe-me pensar sobre isso.;Laisse moi y réfléchir.;Fammici pensare.;Laat me er over nadenken.;Låt mig tänka på det.;La meg tenke på det.;Lad mig tænke over det.;मुझे इसके बारे में सोचने दें।;مجھے اس بارے میں سوچنے دیں.;Дай мне подумать об этом.;دعني افكر به.;Everyday Lingo
Let's go have a look.;Vamos a echar un vistazo.;Schauen wir mal.;見に行きましょう。;我们去看看吧。;我們去看看吧。;한번 봅시다.;Vamos dar uma olhada.;Allons voir.;Andiamo a dare un'occhiata.;Laten we eens gaan kijken.;Låt oss gå och titta.;La oss ta en titt.;Lad os tage et kig.;चलिये देखते हैं।;آئیے ایک نظر ڈالتے ہیں۔;Пойдем посмотрим.;دعنا نلقي نظرة.;Everyday Lingo
Let's practice English.;Practiquemos inglés.;Lass uns Englisch üben.;英語を練習しましょう。;让我们练习英语。;讓我們練習英語。;영어를 연습합시다.;Vamos praticar inglês.;Pratiquons l'anglais.;Pratichiamo l'inglese.;Laten we Engels oefenen.;Låt oss träna engelska.;La oss øve på engelsk.;Lad os øve engelsk.;आइए अंग्रेजी का अभ्यास करें।;آئیے انگریزی کی مشق کریں۔;Давайте попрактикуемся в английском.;دعونا نتدرب على اللغة الإنجليزية.;Everyday Lingo
May I speak to Mrs. Smith please?;¿Puedo hablar con la señora Smith, por favor?;Darf ich bitte mit Mrs. Smith sprechen?;スミス夫人とお話ししてもよろしいですか？;我可以和史密斯夫人通话吗？;我可以和史密斯夫人通話嗎？;스미스 부인과 통화할 수 있을까요?;Posso falar com a Sra. Smith, por favor?;Puis-je parler à Mme Smith, s'il vous plaît ?;Posso parlare con la signora Smith, per favore?;Mag ik mevrouw Smith alstublieft spreken?;Får jag prata med Mrs Smith snälla?;Kan jeg snakke med fru Smith?;Må jeg tale med fru Smith venligst?;क्या मैं श्रीमती स्मिथ से बात कर सकता हूँ कृपया?;کیا میں مسز سمتھ سے بات کر سکتا ہوں؟;Могу я поговорить с миссис Смит, пожалуйста?;هل يمكنني التحدث إلى السيدة سميث من فضلك؟;Everyday Lingo
More than that.;Más que eso.;Mehr als das.;それ以上。;比那更多的。;比那更多的。;그 이상.;Mais que isso.;Plus que ça.;Più di quello.;Meer dan dat.;Mer än det.;Mer enn det.;Mere end det.;उस से भी अधिक।;اس سے زیادہ.;Больше чем это.;أكثر من ذلك.;Everyday Lingo
Never mind.;No importa.;Egal.;どうでも。;没关系。;沒關係。;괜찮아요.;Deixa para lá.;Pas grave.;Non importa.;Laat maar zitten.;Glöm det.;Glem det.;Glem det.;कोई बात नहीं।;کوئی بات نہیں.;Неважно.;لا تهتم.;Everyday Lingo
Next time.;La próxima vez.;Nächstes Mal.;次の時間。;下次。;下次。;다음번.;Próxima vez.;La prochaine fois.;La prossima volta.;De volgende keer.;Nästa gång.;Neste gang.;Næste gang.;अगली बार।;اگلی بار.;В следующий раз.;المرة التالية.;Everyday Lingo
No.;No.;NEIN.;いいえ。;不。;不。;아니요.;Não.;Non.;NO.;Nee.;Nej.;Nei.;Ingen.;नहीं।;نہیں.;Нет.;لا.;Everyday Lingo
Nonsense.;Disparates.;Unsinn.;ナンセンス。;废话。;廢話。;무의미한 말.;Absurdo.;Absurdité.;Senza senso.;Onzin.;Dumheter.;Tull.;Nonsens.;बकवास।;بکواس.;Ерунда.;كلام فارغ.;Everyday Lingo
No, thank you.;No gracias.;Nein danke.;いいえ、結構です。;不，谢谢。;不，謝謝。;아니요 괜찮습니다.;Não, obrigado.;Non, merci.;No grazie.;Nee, dank u.;Nej tack.;Nei takk.;Nej tak.;नहीं धन्यवाद।;نہیں شکریہ.;Нет, спасибо.;لا، شكرا.;Everyday Lingo
Nothing else.;Nada más.;Nichts anderes.;他には何もありません。;没有其他的。;沒有其他的。;아무것도.;Nada mais.;Rien d'autre.;Nient'altro.;Niks anders.;Inget annat.;Ingenting annet.;Intet andet.;और कुछ नहीं।;اور کچھ نہیں.;Ничего больше.;لا شيء آخر.;Everyday Lingo
Not recently.;No recientemente.;Nicht kürzlich.;最近ではありません。;不是最近。;不是最近。;최근에는 아닙니다.;Não Recentemente.;Pas récemment.;Non di recente.;Niet recentelijk.;Inte nyligen.;Ikke nylig.;Ikke for nylig.;हाल ही में नहीं है।;حال ہی میں نہیں۔;Не недавно.;ليس مؤخرا.;Everyday Lingo
Not yet.;Aún no.;Noch nicht.;まだ。;还没有。;還沒有。;아직 아님.;Ainda não.;Pas encore.;Non ancora.;Nog niet.;Inte än.;Ikke ennå.;Ikke endnu.;अभी तक नहीं।;ابھی تک نہیں.;Еще нет.;ليس بعد.;Everyday Lingo
